,name,address,phone_number,category,organization,lat,lon,commune_name,wilaya_name,type_name,type_id,code_wil
136,LAITERIE FROMAGERIE TESSALA,ROUTE TENIRA PROLONGEE BP 157 SBA,,pv,GIPLAIT,35.1897222,-0.6308333,SIDI BEL ABBES,SIDI BEL ABBES,Produits laitiers,3,22
137,LAITERIE FROMAGERIE TESSALA,Rue El-Djamhouria Centre-Ville Sidi-Bel-Abbès,,pv,GIPLAIT,35.1897222,-0.6308333,SIDI BEL ABBES,SIDI BEL ABBES,Produits laitiers,3,22
138,LAITERIE FROMAGERIE TESSALA,Local E103 Cité HIRECHE AEK 2000 logements,,pv,GIPLAIT,35.1741667,-0.5486111,TILMOUNI,SIDI BEL ABBES,Produits laitiers,3,22
139,LAITERIE FROMAGERIE TESSALA,Local 01 Cité 1000 logements,,pv,GIPLAIT,35.1633333,-0.6958333,SIDI LAHCENE,SIDI BEL ABBES,Produits laitiers,3,22
140,LAITERIE FROMAGERIE TESSALA,Locaux 01 et 02 Marché de proximité  le Defunt Modjahid Si MESSAOUDI AEK,,pv,GIPLAIT,34.4461111,-0.195,MARHOUM,SIDI BEL ABBES,Produits laitiers,3,22
141,marché couvert,Tamanrasset,,pv,CNA,22.797089,5.518692,TAMENGHASSET,TAMENGHASSET,Fruits et légumes,2,11
142,LAITERIE  ARIB ,REU 19 MARS EN FACE LE STADE ECHAHID SI HAMDANE MEDEA,,pv,GIPLAIT,36.26,2.7547222,MEDEA,MEDEA,Produits laitiers,3,26
143,SOUK RAMADAN,Chambre d'Artisanat route El-Anasser,035874277,pv,CNA,36.05995398707717,4.7846050094595025,BORDJ BOU ARRERIDJ,BORDJ BOU ARRERIDJ,Fruits et légumes,2,34
144,SOUK RAMADAN,Ouled KHELIFA commue DJAAFRA,035759181,pv,CNA,36.26567079710961,4.700673580474861,DJAAFRA,BORDJ BOU ARRERIDJ,Fruits et légumes,2,34
145,SOUK RAMADAN,commue DJAAFRA Centre,035759181,pv,CNA,36.29283727479461,4.661101358399855,DJAAFRA,BORDJ BOU ARRERIDJ,Fruits et légumes,2,34
146,LAITERIE  ARIB ,HAY EMIR ABDELKADER -ARIB-,,pv,GIPLAIT,36.2838889,2.0733333,ARIB,AIN DEFLA,Produits laitiers,3,44
147,SOUK RAMADAN,Pose Num 10 El -Hamadia,035710168,pv,CNA,35.9770071157214,4.748634700777328,HAMADIA,TIARET,Fruits et légumes,2,14
148,SOUK RAMADAN,Commune Belimour Centre,035790192,pv,CNA,35.98225649522177,4.876863559697184,BELIMOUR,BORDJ BOU ARRERIDJ,Fruits et légumes,2,34
149,SOUK RAMADAN,Marché Hebdomadaire MEDJANA,035705062,pv,CNA,36.13352510155805,4.668277064322526,MEDJANA,BORDJ BOU ARRERIDJ,Fruits et légumes,2,34
